1.00000000	-0.00000000
0.99560846	0.00004039
0.98907194	0.00015802
0.98041925	0.00037736
0.96968843	0.00072289
0.95692658	0.00121659
0.94218953	0.00187723
0.92554158	0.00271992
0.90705515	0.00375574
0.88681034	0.00499133
0.86489457	0.00642875
0.84140215	0.00806538
0.81643376	0.00989372
0.79009605	0.01190156
0.76250114	0.01407206
0.73376613	0.01638392
0.70401263	0.01881169
0.67336628	0.02132618
0.64195626	0.02389480
0.60991482	0.02648212
0.57737680	0.02905042
0.54447918	0.03156026
0.51136059	0.03397111
0.47816085	0.03624201
0.44502051	0.03833227
0.41208036	0.04020210
0.37948101	0.04181329
0.34736234	0.04312985
0.31586311	0.04411858
0.28512042	0.04474968
0.25526926	0.04499720
0.22644207	0.04483947
0.19876829	0.04425944
0.17237400	0.04324490
0.14738159	0.04178854
0.12390958	0.03988788
0.10207272	0.03754496
0.08198242	0.03476587
0.06374785	0.03155985
0.04747861	0.02793760
0.03329011	0.02390905
0.02131513	0.01948179
0.01173070	0.01466142
0.00481328	0.00948825
0.00095686	0.00425447
0.00000000	-0.00000000
0.00095686	-0.00425447
0.00481328	-0.00948825
0.01173070	-0.01466142
0.02131513	-0.01948179
0.03329011	-0.02390905
0.04747861	-0.02793760
0.06374785	-0.03155985
0.08198242	-0.03476587
0.10207272	-0.03754496
0.12390958	-0.03988788
0.14738159	-0.04178854
0.17237400	-0.04324490
0.19876829	-0.04425944
0.22644207	-0.04483947
0.25526926	-0.04499720
0.28512042	-0.04474968
0.31586311	-0.04411858
0.34736234	-0.04312985
0.37948101	-0.04181329
0.41208036	-0.04020210
0.44502051	-0.03833227
0.47816085	-0.03624201
0.51136059	-0.03397111
0.54447918	-0.03156026
0.57737680	-0.02905042
0.60991482	-0.02648212
0.64195626	-0.02389480
0.67336628	-0.02132618
0.70401263	-0.01881169
0.73376613	-0.01638392
0.76250114	-0.01407206
0.79009605	-0.01190156
0.81643376	-0.00989372
0.84140215	-0.00806538
0.86489457	-0.00642875
0.88681034	-0.00499133
0.90705515	-0.00375574
0.92554158	-0.00271992
0.94218953	-0.00187723
0.95692658	-0.00121659
0.96968843	-0.00072289
0.98041925	-0.00037736
0.98907194	-0.00015802
0.99560846	-0.00004039
1.00000000	-0.00000000
